# File: A_DeforestGLUs.csv
# Title: GLUs with deforestation crops
# Unit: NA
# Column types: ic
# ----------
GCAM_region_ID,GLU
4,GLU171
4,GLU198
4,GLU190
4,GLU197
4,GLU182
4,GLU183
4,GLU162
4,GLU199
4,GLU87
4,GLU179
4,GLU188
5,GLU142
5,GLU183
5,GLU162
5,GLU151
5,GLU149
5,GLU87
5,GLU160
31,GLU209
6,GLU211
7,GLU206
9,GLU101
9,GLU135
9,GLU157
9,GLU133
9,GLU143
9,GLU111
14,GLU47
14,GLU54
14,GLU39
14,GLU49
14,GLU53
14,GLU35
14,GLU30
15,GLU55
15,GLU70
15,GLU72
15,GLU54
15,GLU75
15,GLU84
18,GLU175
18,GLU165
18,GLU163
20,GLU217
20,GLU135
20,GLU133
20,GLU91
20,GLU96
20,GLU115
20,GLU105
20,GLU114
20,GLU134
20,GLU231
20,GLU136
20,GLU221
20,GLU111
27,GLU58
27,GLU116
27,GLU110
27,GLU154
29,GLU116
29,GLU159
29,GLU109
29,GLU158
29,GLU137
29,GLU175
29,GLU165
29,GLU65
29,GLU139
29,GLU125
29,GLU119
29,GLU37
29,GLU112
29,GLU127
29,GLU138
29,GLU148
29,GLU126
29,GLU108
1,GLU227
1,GLU218
1,GLU219
1,GLU23
1,GLU228
1,GLU230
1,GLU233
1,GLU232
1,GLU226
